"vendor","vendor_code"
"Accenco","VE_001"
"Ace Corporation","VE_002"
"Nero","VE_003"
"Rushcorp","VE_004"
"Low Tide Corp","VE_005"
"Venusystems","VE_006"
"Driftonics","VE_007"
"Fireworth","VE_008"
"Vine Inc","VE_009"
"Vision Technologies","VE_010"
"Energy Systems","VE_011"
"Wonderprises","VE_012"
"Whizystems","VE_013"
"Lemonetworks","VE_014"
"Phantomnnite","VE_015"
"Lifoods","VE_016"
"Ogre Solutions","VE_017"
"Proton Solutions","VE_018"
"Starlightning","VE_019"
"Butterfly Microsystems","VE_020"
"Nimbleworks","VE_021"
"Mermaid Industries","VE_022"
"Gnomestone","VE_023"
"Pixelshow","VE_024"
"Fjord Technologies","VE_025"
"Heroking","VE_026"
"Ansoft","VE_027"
"Firerover","VE_028"
"Crystallight","VE_029"
"Cubemaster","VE_030"
"Sail Furniture","VE_031"
"Padlock Microsystems","VE_032"
"Sharkfin Networks","VE_033"
"Lemon Systems","VE_034"
"Joytechs","VE_035"
"Quadsearch","VE_036"
"Riverlife","VE_037"
"Spicurity","VE_038"
"Sailstones","VE_039"
"Wizardustries","VE_040"
"Jet Networks","VE_041"
"Seed Softwares","VE_042"
"Prodintelligence","VE_043"
"Apple Electronics","VE_044"
"Primehive","VE_045"
"Coredale","VE_046"
"Arcanestar","VE_047"
"Stormking","VE_048"
"Sawwares","VE_049"
"Oceanpaw","VE_050"
"Luckydream","VE_051"
"Trekords","VE_052"
"Apexi","VE_053"
"Spiderwell","VE_054"
"Moonlimited","VE_055"
"Purpleshack","VE_056"
"Phantomnlight","VE_057"
"Ghostronics","VE_058"
"Gnome Softwares","VE_059"
"Drift Co.","VE_060"
"Moondustries","VE_061"
"Alphacom","VE_062"
"Apexman","VE_063"
"Chief Industries","VE_064"
"Prime Solutions","VE_065"
