vendor, profit_outlier_capped
Accenco, 4.56
Accenco, 21.7
Accenco, 18.62
Accenco, 11.64
Accenco, 15.96
Accenco, -8.5974
Accenco, 3.48
Accenco, 21.2
Accenco, 1.42
Accenco, 2.72
Accenco, -11.624
Accenco, -26.46
Accenco, 9.76
Accenco, 9.12
Accenco, 16.8
Accenco, 228.84
Accenco, -6.064
Accenco, -4.836
Accenco, 15.78
Accenco, 95.712
Accenco, 7.3008
Accenco, 7.596
Accenco, 21.1428
Accenco, 18.96
Accenco, 0.0
Accenco, 12.48
Accenco, 17.28
Accenco, 2.64
Accenco, -11.19
Accenco, -0.8392
Accenco, 34.4
Accenco, -3.28
Accenco, 2.872
Accenco, -0.7040000000000001
Accenco, 3.4216
Accenco, 4.2384
Accenco, 53.76
Accenco, 31.76
Accenco, 48.84
Accenco, 5.367999999999999
Accenco, -6.867000000000001
Accenco, 0.0
Accenco, 7.44
Accenco, 2.6
Accenco, 5.68
Accenco, 13.3
Accenco, 16.8
Accenco, -2.6256
Accenco, 0.3156
Accenco, 32.095
