SKU_ID,Date,Page_traffic,Revenue($),Unit_price,Units_sold,Segment,1_Star_Rating,2_Star_Rating,3_Star_Rating,4_Star_Rating,5_Star_Rating,Image_Count,Bullet_Count,Title_Count,Description_Length,num_unique_Search_Terms,Organic Search Rank,Num_of_Promotions,Sum of Spend,Online_Clicks,Online_Cost,Online_Impressions,num_unique_campaigns,Clicks_video,Cost_video,Impressions_video,num_unique_campaigns_offline,Units_sold>1000
SKU1539,2022-04-09,5835.0,46006,22.2143891839691,2071,Skincare,99.0,72.0,194.0,453.0,3272.0,6.0,6.0,89.0,141.0,3.0,3.0,0.0,0.0,1271.0,3102.448114772405,238075.0,6.0,3479.0,40244.28,3856872.0,2.0,1
SKU1431,2021-05-08,1881.0,8084,11.87077826725404,681,Skincare,118.0,73.0,200.0,430.0,3084.0,9.0,8.0,126.0,149.0,13.0,16.0,0.0,0.0,494.0,1723.716359049061,75868.0,2.0,0.0,0.0,0.0,0.0,0
SKU995,2022-12-24,2477.0,24190,27.64571428571428,875,Makeup,108.0,85.0,232.0,511.0,3402.0,10.0,7.0,152.0,186.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SKU1136,2022-10-08,4087.0,23588,16.89684813753582,1396,Makeup,82.0,64.0,167.0,303.0,2058.0,5.0,7.0,117.0,209.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SKU528,2022-03-26,1446.0,13446,16.35766423357664,822,Hair Care,29.0,24.0,88.0,200.0,1221.0,0.0,8.0,165.0,158.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.0,77040.81,7539723.0,2.0,0
SKU772,2022-10-08,2875.0,23724,19.55812036273701,1213,Skincare,62.0,55.0,165.0,285.0,1775.0,12.0,5.0,83.0,60.0,3.0,16.0,0.0,0.0,588.0,1748.099523166486,86068.0,2.0,0.0,0.0,0.0,0.0,1
SKU291,2022-08-27,4688.0,28306,22.30575256107171,1269,Makeup,0.0,0.0,0.0,0.0,0.0,7.0,7.0,114.0,209.0,3.0,37.0,1.0,837.4086432967126,924.0,3462.254284954175,237797.0,6.0,0.0,0.0,0.0,0.0,1
SKU1308,2021-05-15,3947.0,11844,14.01656804733728,845,Makeup,43.0,29.0,74.0,191.0,1403.0,13.0,6.0,113.0,209.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SKU133,2021-01-23,5503.0,34000,23.75960866526904,1431,Skincare,35.0,33.0,73.0,135.0,665.0,8.0,5.0,125.0,221.0,3.0,4.0,0.0,0.0,905.0,2073.768656935164,123596.0,2.0,0.0,0.0,0.0,0.0,1
SKU1633,2022-05-28,4131.0,29043,27.84563758389262,1043,Skincare,0.0,0.0,25.0,66.0,403.0,9.0,5.0,85.0,59.0,1.0,3.0,0.0,0.0,1168.0,4346.174220317698,260507.0,4.0,0.0,0.0,0.0,0.0,1
SKU1909,2021-05-15,1935.0,17271,21.13953488372093,817,Makeup,91.0,69.0,188.0,395.0,2548.0,0.0,8.0,163.0,158.0,9.0,31.0,1.0,267.3323188826733,803.0,2655.087606311014,115834.0,2.0,0.0,0.0,0.0,0.0,0
SKU998,2021-02-20,2182.0,22056,18.22809917355372,1210,Makeup,36.0,24.0,49.0,123.0,718.0,14.0,7.0,122.0,209.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SKU125,2022-11-26,3792.0,25224,31.92911392405063,790,Makeup,88.0,51.0,156.0,335.0,2389.0,13.0,7.0,137.0,209.0,8.0,52.0,0.0,0.0,793.0,4853.248336921532,172331.0,6.0,0.0,0.0,0.0,0.0,0
SKU1517,2021-04-17,4077.0,25458,25.08177339901478,1015,Skincare,56.0,45.0,140.0,301.0,2218.0,0.0,8.0,161.0,158.0,5.0,10.0,1.0,170.767976721698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SKU765,2022-07-02,5760.0,34396,20.0209545983702,1718,Skincare,19.0,15.0,42.0,149.0,1154.0,0.0,6.0,76.0,96.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SKU1825,2022-02-05,4907.0,36397,22.52289603960396,1616,Makeup,82.0,55.0,130.0,241.0,1437.0,0.0,6.0,86.0,116.0,0.0,15.0,0.0,0.0,1215.0,2651.044339411264,96210.0,2.0,5379.0,61559.15,6156021.0,2.0,1
SKU800,2022-07-09,1929.0,19196,31.83416252072968,603,Makeup,152.0,106.0,306.0,676.0,4353.0,9.0,8.0,126.0,221.0,7.0,22.0,0.0,0.0,539.0,1791.399665253036,74889.0,4.0,0.0,0.0,0.0,0.0,0
SKU477,2022-05-14,4286.0,24405,18.13150074294205,1346,Makeup,53.0,51.0,163.0,298.0,1895.0,0.0,6.0,76.0,97.0,2.0,3.0,0.0,0.0,851.0,3457.978229298561,167260.0,4.0,0.0,0.0,0.0,0.0,1
SKU469,2022-05-28,2411.0,44110,36.33443163097199,1214,Makeup,119.0,82.0,217.0,452.0,3148.0,16.0,7.0,139.0,123.0,4.0,17.0,0.0,0.0,676.0,4505.030629501191,201772.0,4.0,0.0,0.0,0.0,0.0,1
